Date,Year,Month,Week,Region,Temperature_C,Rainfall_mm,Humidity_Percent
2020-01-06,2020,1,1,Dhaka,18.5,5,68
2020-01-13,2020,1,2,Dhaka,17.8,3,65
2020-01-20,2020,1,3,Dhaka,19.2,8,70
2020-01-27,2020,1,4,Dhaka,18.9,4,67
2020-02-03,2020,2,5,Dhaka,20.5,12,71
2020-02-10,2020,2,6,Dhaka,21.3,8,69
2020-02-17,2020,2,7,Dhaka,22.1,15,72
2020-02-24,2020,2,8,Dhaka,23.5,18,74
2020-03-02,2020,3,9,Dhaka,25.2,22,76
2020-03-09,2020,3,10,Dhaka,26.8,28,78
2020-03-16,2020,3,11,Dhaka,27.5,35,79
2020-03-23,2020,3,12,Dhaka,28.3,42,80
2020-03-30,2020,3,13,Dhaka,29.1,48,81
2020-04-06,2020,4,14,Dhaka,30.2,65,82
2020-04-13,2020,4,15,Dhaka,31.5,78,83
2020-04-20,2020,4,16,Dhaka,32.1,85,84
2020-04-27,2020,4,17,Dhaka,32.8,92,85
2020-05-04,2020,5,18,Dhaka,33.2,105,86
2020-05-11,2020,5,19,Dhaka,33.8,118,87
2020-05-18,2020,5,20,Dhaka,34.1,125,87
2020-05-25,2020,5,21,Dhaka,34.5,132,88
2020-06-01,2020,6,22,Dhaka,33.8,148,88
2020-06-08,2020,6,23,Dhaka,33.5,162,89
2020-06-15,2020,6,24,Dhaka,33.2,178,89
2020-06-22,2020,6,25,Dhaka,32.9,195,90
2020-06-29,2020,6,26,Dhaka,32.5,205,90
2020-07-06,2020,7,27,Dhaka,32.1,218,90
2020-07-13,2020,7,28,Dhaka,31.8,232,91
2020-07-20,2020,7,29,Dhaka,31.5,245,91
2020-07-27,2020,7,30,Dhaka,31.2,258,91
2020-08-03,2020,8,31,Dhaka,31.5,272,91
2020-08-10,2020,8,32,Dhaka,31.8,285,91
2020-08-17,2020,8,33,Dhaka,32.1,295,91
2020-08-24,2020,8,34,Dhaka,32.3,305,91
2020-08-31,2020,8,35,Dhaka,32.5,288,90
2020-09-07,2020,9,36,Dhaka,32.2,268,89
2020-09-14,2020,9,37,Dhaka,31.8,245,88
2020-09-21,2020,9,38,Dhaka,31.2,225,87
2020-09-28,2020,9,39,Dhaka,30.5,198,85
2020-10-05,2020,10,40,Dhaka,29.8,172,83
2020-10-12,2020,10,41,Dhaka,28.9,148,81
2020-10-19,2020,10,42,Dhaka,27.8,125,79
2020-10-26,2020,10,43,Dhaka,26.5,105,77
2020-11-02,2020,11,44,Dhaka,24.8,88,75
2020-11-09,2020,11,45,Dhaka,23.2,72,73
2020-11-16,2020,11,46,Dhaka,21.8,58,71
2020-11-23,2020,11,47,Dhaka,20.5,45,69
2020-11-30,2020,11,48,Dhaka,19.2,32,67
2020-12-07,2020,12,49,Dhaka,18.5,22,65
2020-12-14,2020,12,50,Dhaka,17.8,15,64
2020-12-21,2020,12,51,Dhaka,17.2,8,63
2020-12-28,2020,12,52,Dhaka,16.8,5,62
2021-01-04,2021,1,1,Dhaka,17.5,6,65
2021-01-11,2021,1,2,Dhaka,18.2,4,66
2021-01-18,2021,1,3,Dhaka,18.8,7,68
2021-01-25,2021,1,4,Dhaka,19.5,9,69
2021-02-01,2021,2,5,Dhaka,20.8,14,70
2021-02-08,2021,2,6,Dhaka,21.5,16,72
2021-02-15,2021,2,7,Dhaka,22.5,20,73
2021-02-22,2021,2,8,Dhaka,23.8,25,75
2021-03-01,2021,3,9,Dhaka,25.5,32,77
2021-03-08,2021,3,10,Dhaka,27.2,38,79
2021-03-15,2021,3,11,Dhaka,28.5,45,80
2021-03-22,2021,3,12,Dhaka,29.8,52,81
2021-03-29,2021,3,13,Dhaka,30.5,58,82
2021-04-05,2021,4,14,Dhaka,31.2,68,83
2021-04-12,2021,4,15,Dhaka,31.8,75,84
2021-04-19,2021,4,16,Dhaka,32.5,82,85
2021-04-26,2021,4,17,Dhaka,33.1,88,85
2021-05-03,2021,5,18,Dhaka,33.5,98,86
2021-05-10,2021,5,19,Dhaka,34.2,108,87
2021-05-17,2021,5,20,Dhaka,34.8,115,87
2021-05-24,2021,5,21,Dhaka,35.1,122,88
2021-05-31,2021,5,22,Dhaka,35.5,128,88
2021-06-07,2021,6,23,Dhaka,34.8,142,89
2021-06-14,2021,6,24,Dhaka,34.2,155,89
2021-06-21,2021,6,25,Dhaka,33.8,168,89
2021-06-28,2021,6,26,Dhaka,33.5,182,90
2021-07-05,2021,7,27,Dhaka,33.2,195,90
2021-07-12,2021,7,28,Dhaka,32.8,208,90
2021-07-19,2021,7,29,Dhaka,32.5,222,91
2021-07-26,2021,7,30,Dhaka,32.2,235,91
2021-08-02,2021,8,31,Dhaka,32.5,248,91
2021-08-09,2021,8,32,Dhaka,32.8,262,91
2021-08-16,2021,8,33,Dhaka,33.1,275,91
2021-08-23,2021,8,34,Dhaka,33.5,288,91
2021-08-30,2021,8,35,Dhaka,33.2,275,90
2021-09-06,2021,9,36,Dhaka,32.8,258,89
2021-09-13,2021,9,37,Dhaka,32.2,238,88
2021-09-20,2021,9,38,Dhaka,31.5,218,87
2021-09-27,2021,9,39,Dhaka,30.8,195,86
2021-10-04,2021,10,40,Dhaka,30.2,175,84
2021-10-11,2021,10,41,Dhaka,29.5,155,82
2021-10-18,2021,10,42,Dhaka,28.5,135,80
2021-10-25,2021,10,43,Dhaka,27.2,115,78
2021-11-01,2021,11,44,Dhaka,25.5,95,76
2021-11-08,2021,11,45,Dhaka,24.2,78,74
2021-11-15,2021,11,46,Dhaka,22.8,62,72
2021-11-22,2021,11,47,Dhaka,21.2,48,70
2021-11-29,2021,11,48,Dhaka,19.8,35,68
2021-12-06,2021,12,49,Dhaka,18.8,25,66
2021-12-13,2021,12,50,Dhaka,18.2,18,65
2021-12-20,2021,12,51,Dhaka,17.5,12,64
2021-12-27,2021,12,52,Dhaka,17.2,8,63
2022-01-03,2022,1,1,Dhaka,17.8,7,65
2022-01-10,2022,1,2,Dhaka,18.5,5,66
2022-01-17,2022,1,3,Dhaka,19.2,8,68
2022-01-24,2022,1,4,Dhaka,19.8,10,69
2022-01-31,2022,1,5,Dhaka,20.5,13,70
2022-02-07,2022,2,6,Dhaka,21.2,15,71
2022-02-14,2022,2,7,Dhaka,22.2,18,73
2022-02-21,2022,2,8,Dhaka,23.5,22,74
2022-02-28,2022,2,9,Dhaka,24.8,28,76
2022-03-07,2022,3,10,Dhaka,26.2,35,78
2022-03-14,2022,3,11,Dhaka,27.8,42,79
2022-03-21,2022,3,12,Dhaka,29.2,48,80
2022-03-28,2022,3,13,Dhaka,30.2,55,81
2022-04-04,2022,4,14,Dhaka,31.5,65,82
2022-04-11,2022,4,15,Dhaka,32.2,72,83
2022-04-18,2022,4,16,Dhaka,32.8,78,84
2022-04-25,2022,4,17,Dhaka,33.5,85,85
2022-05-02,2022,5,18,Dhaka,34.2,95,86
2022-05-09,2022,5,19,Dhaka,34.8,105,86
2022-05-16,2022,5,20,Dhaka,35.2,112,87
2022-05-23,2022,5,21,Dhaka,35.8,118,87
2022-05-30,2022,5,22,Dhaka,36.1,125,88
2022-06-06,2022,6,23,Dhaka,35.5,138,88
2022-06-13,2022,6,24,Dhaka,34.8,152,89
2022-06-20,2022,6,25,Dhaka,34.5,165,89
2022-06-27,2022,6,26,Dhaka,34.2,178,90
2022-07-04,2022,7,27,Dhaka,33.8,192,90
2022-07-11,2022,7,28,Dhaka,33.5,205,90
2022-07-18,2022,7,29,Dhaka,33.2,218,91
2022-07-25,2022,7,30,Dhaka,32.8,232,91
2022-08-01,2022,8,31,Dhaka,33.2,245,91
2022-08-08,2022,8,32,Dhaka,33.5,258,91
2022-08-15,2022,8,33,Dhaka,33.8,272,91
2022-08-22,2022,8,34,Dhaka,34.2,285,91
2022-08-29,2022,8,35,Dhaka,33.8,272,90
2022-09-05,2022,9,36,Dhaka,33.2,252,89
2022-09-12,2022,9,37,Dhaka,32.5,232,88
2022-09-19,2022,9,38,Dhaka,31.8,212,87
2022-09-26,2022,9,39,Dhaka,31.2,192,86
2022-10-03,2022,10,40,Dhaka,30.5,172,84
2022-10-10,2022,10,41,Dhaka,29.8,152,82
2022-10-17,2022,10,42,Dhaka,28.8,132,80
2022-10-24,2022,10,43,Dhaka,27.5,112,78
2022-10-31,2022,10,44,Dhaka,26.2,92,76
2022-11-07,2022,11,45,Dhaka,24.8,75,74
2022-11-14,2022,11,46,Dhaka,23.2,58,72
2022-11-21,2022,11,47,Dhaka,21.8,45,70
2022-11-28,2022,11,48,Dhaka,20.5,32,68
2022-12-05,2022,12,49,Dhaka,19.2,22,66
2022-12-12,2022,12,50,Dhaka,18.5,15,65
2022-12-19,2022,12,51,Dhaka,17.8,10,64
2022-12-26,2022,12,52,Dhaka,17.2,6,63
2023-01-02,2023,1,1,Dhaka,18.2,8,66
2023-01-09,2023,1,2,Dhaka,18.8,6,67
2023-01-16,2023,1,3,Dhaka,19.5,9,68
2023-01-23,2023,1,4,Dhaka,20.2,11,69
2023-01-30,2023,1,5,Dhaka,21.2,14,71
2023-02-06,2023,2,6,Dhaka,22.2,17,72
2023-02-13,2023,2,7,Dhaka,23.2,20,74
2023-02-20,2023,2,8,Dhaka,24.5,25,75
2023-02-27,2023,2,9,Dhaka,25.8,30,77
2023-03-06,2023,3,10,Dhaka,27.5,38,78
2023-03-13,2023,3,11,Dhaka,29.2,45,80
2023-03-20,2023,3,12,Dhaka,30.5,52,81
2023-03-27,2023,3,13,Dhaka,31.5,60,82
2023-04-03,2023,4,14,Dhaka,32.5,70,83
2023-04-10,2023,4,15,Dhaka,33.2,78,84
2023-04-17,2023,4,16,Dhaka,33.8,85,85
2023-04-24,2023,4,17,Dhaka,34.5,92,85
2023-05-01,2023,5,18,Dhaka,35.2,102,86
2023-05-08,2023,5,19,Dhaka,35.8,112,86
2023-05-15,2023,5,20,Dhaka,36.2,120,87
2023-05-22,2023,5,21,Dhaka,36.8,128,87
2023-05-29,2023,5,22,Dhaka,37.1,135,88
2023-06-05,2023,6,23,Dhaka,36.5,148,88
2023-06-12,2023,6,24,Dhaka,35.8,162,89
2023-06-19,2023,6,25,Dhaka,35.5,175,89
2023-06-26,2023,6,26,Dhaka,35.2,188,90
2023-07-03,2023,7,27,Dhaka,34.8,202,90
2023-07-10,2023,7,28,Dhaka,34.5,215,90
2023-07-17,2023,7,29,Dhaka,34.2,228,91
2023-07-24,2023,7,30,Dhaka,33.8,242,91
2023-07-31,2023,7,31,Dhaka,33.5,255,91
2023-08-07,2023,8,32,Dhaka,33.8,268,91
2023-08-14,2023,8,33,Dhaka,34.2,282,91
2023-08-21,2023,8,34,Dhaka,34.5,295,91
2023-08-28,2023,8,35,Dhaka,34.8,305,91
2023-09-04,2023,9,36,Dhaka,34.2,288,90
2023-09-11,2023,9,37,Dhaka,33.5,268,89
2023-09-18,2023,9,38,Dhaka,32.8,248,88
2023-09-25,2023,9,39,Dhaka,32.2,228,87
2023-10-02,2023,10,40,Dhaka,31.5,208,85
2023-10-09,2023,10,41,Dhaka,30.8,188,83
2023-10-16,2023,10,42,Dhaka,29.8,168,81
2023-10-23,2023,10,43,Dhaka,28.5,148,79
2023-10-30,2023,10,44,Dhaka,27.2,128,77
2023-11-06,2023,11,45,Dhaka,25.8,108,75
2023-11-13,2023,11,46,Dhaka,24.2,88,73
2023-11-20,2023,11,47,Dhaka,22.8,68,71
2023-11-27,2023,11,48,Dhaka,21.5,52,69
2023-12-04,2023,12,49,Dhaka,20.2,38,67
2023-12-11,2023,12,50,Dhaka,19.2,28,65
2023-12-18,2023,12,51,Dhaka,18.5,18,64
2023-12-25,2023,12,52,Dhaka,17.8,12,63
2024-01-01,2024,1,1,Dhaka,18.5,10,65
2024-01-08,2024,1,2,Dhaka,19.2,7,66
2024-01-15,2024,1,3,Dhaka,19.8,9,68
2024-01-22,2024,1,4,Dhaka,20.5,11,69
2024-01-29,2024,1,5,Dhaka,21.2,14,70
2024-02-05,2024,2,6,Dhaka,22.5,17,72
2024-02-12,2024,2,7,Dhaka,23.5,20,73
2024-02-19,2024,2,8,Dhaka,24.8,25,75
2024-02-26,2024,2,9,Dhaka,26.2,30,76
2024-03-04,2024,3,10,Dhaka,27.8,38,78
2024-03-11,2024,3,11,Dhaka,29.5,45,79
2024-03-18,2024,3,12,Dhaka,30.8,52,80
2024-03-25,2024,3,13,Dhaka,32.2,60,82
2024-04-01,2024,4,14,Dhaka,33.2,70,83
2024-04-08,2024,4,15,Dhaka,33.8,78,84
2024-04-15,2024,4,16,Dhaka,34.5,85,85
2024-04-22,2024,4,17,Dhaka,35.2,92,85
2024-04-29,2024,4,18,Dhaka,35.8,100,86
2024-05-06,2024,5,19,Dhaka,36.2,110,86
2024-05-13,2024,5,20,Dhaka,36.8,118,87
2024-05-20,2024,5,21,Dhaka,37.2,125,87
2024-05-27,2024,5,22,Dhaka,37.5,132,88
2024-06-03,2024,6,23,Dhaka,36.8,145,88
2024-06-10,2024,6,24,Dhaka,36.2,158,89
2024-06-17,2024,6,25,Dhaka,35.8,172,89
2024-06-24,2024,6,26,Dhaka,35.5,185,90
2024-07-01,2024,7,27,Dhaka,35.2,198,90
2024-07-08,2024,7,28,Dhaka,34.8,212,90
2024-07-15,2024,7,29,Dhaka,34.5,225,91
2024-07-22,2024,7,30,Dhaka,34.2,238,91
2024-07-29,2024,7,31,Dhaka,33.8,252,91
2024-08-05,2024,8,32,Dhaka,34.2,265,91
2024-08-12,2024,8,33,Dhaka,34.5,278,91
2024-08-19,2024,8,34,Dhaka,34.8,292,91
2024-08-26,2024,8,35,Dhaka,35.2,305,91
2024-09-02,2024,9,36,Dhaka,34.5,288,90
2024-09-09,2024,9,37,Dhaka,33.8,268,89
2024-09-16,2024,9,38,Dhaka,33.2,248,88
2024-09-23,2024,9,39,Dhaka,32.5,228,87
2024-09-30,2024,9,40,Dhaka,31.8,208,86
2024-10-07,2024,10,41,Dhaka,31.2,188,84
2024-10-14,2024,10,42,Dhaka,30.2,168,82
2024-10-21,2024,10,43,Dhaka,28.8,148,80
2024-10-28,2024,10,44,Dhaka,27.5,128,78
2024-11-04,2024,11,45,Dhaka,26.2,108,76
2024-11-11,2024,11,46,Dhaka,24.8,88,74
2024-11-18,2024,11,47,Dhaka,23.5,68,72
2024-11-25,2024,11,48,Dhaka,22.2,52,70
2024-12-02,2024,12,49,Dhaka,20.8,38,68
2024-12-09,2024,12,50,Dhaka,19.8,28,66
2024-12-16,2024,12,51,Dhaka,18.8,18,65
2024-12-23,2024,12,52,Dhaka,18.2,12,64
2024-12-30,2024,12,53,Dhaka,17.5,8,63
